Date,Description,Type,Street
12/4/20 - 3:15 am,Man shot repeatedly in Dorchester,Shooting,Victory Rd. and Adams St.
12/1/20 - 9:54 pm,Police arrest man they say tried to rob two in Fields Corner but only netted a quarter,Armed robbery,205 Adams St.
11/29/20 - 2:15 am,Police: Two guys were busy zipping through Dorchester with loaded guns until officers pulled them over for traffic infractions,Illegal gun possession,Columbia Rd. and Brinsley St.
11/26/20 - 1:40 pm,Dorchester man charged as gunned-up sovereign citizen in domestic-terrorism investigation,Illegal gun possession,53 McLellan St.
11/16/20 - 7:27 pm,"Six guns seized, three arrested in a park in Dorchester",Illegal gun possession,Wainwright St. and Brent St.
11/14/20 - 11:41 am,"Police say man runs amok in Dorchester: Smashes 20 cars with metal hoses, tries to break into an apartment, punches a man, briefly kidnaps toddler while being chased by an angry mob",,
11/13/20 - 4:40 pm,Three teens charged with holding up food deliverer at gunpoint on Brunswick Street in Dorchester,Armed robbery,203 Brunswick St.
11/8/20 - 12:48 am,"Three injured, one critically, in shootout on Harwood Street in Dorchester",Shooting,27 Harwood St.
10/26/20 - 6:50 pm,Multiple shots fired on Norton Street in Dorchester,Gunfire,75 Norton St.
10/25/20 - 12:05 am,Three teens charged with armed carjacking on Browning Avenue in Dorchester; might also be charged with two shootings there,Armed carjacking,30 Browning Ave.
10/23/20 - 10:50 pm,Four shot on Columbia Road in Dorchester,Shooting,Columbia Rd. and Stanwood St.
10/19/20 - 12:45 am,"Man shot, car crashed on Kingsdale Street in Dorchester",Shooting,Kingsdale St.
10/13/20 - 10:10 pm,SUV shot up on Draper Street in Dorchester,Gunfire,Draper St. and Ridgewood St.
10/13/20 - 9:29 pm,Man in SUV shot in the head on Kingsdale Street in Dorchester; he makes it to Blue Hill Avenue before crashing,Murder,Kingsdale St. and Wales St.
10/1/20 - 11:10 pm,"Guys with guns arrested on Adams Street in Dorchester, police say",Illegal gun possession,120 Adams St.
10/1/20 - 7:10 pm,"Guy videoed himself stomping a man into unconsciousness in Uphams Corner, police say",Assault with a dangerous weapon,Dudley St. and
9/27/20 - 1:17 am,Man murdered on Savin Hill,Murder,16 Hubbardston Rd.
9/13/20 - 6:58 pm,"Police: Man was parked in Dorchester with six guns, plenty of spare ammo, drugs, knife and $25,000 in cash, then he tried to run down officers, nearly smashed into several cars, crashed into light pole",Illegal gun possession,16 Galway St.
9/12/20 - 8:10 pm,"Teen brought loaded gun to Dorchester field and showed a willingness to use it, police say",Illegal gun possession,56 Dunbar Ave.
9/6/20 - 3:45 pm,"Man shot, then run over on Everton Street in Dorchester",,
9/5/20 - 9:29 pm,Two men shot in the hand in separate Dorchester incidents a few minutes apart,Shooting,Livingstone St. and Blue Hill Ave.
9/5/20 - 7:20 pm,Four stabbed at Roberts Playground in Dorchester,Stabbing,Wentworth Terrace
8/30/20 - 2:30 am,Unofficial Carnival street party along Blue Hill Avenue ends with man shot,Murder,Blue Hill Avenue and Ellington St.
8/27/20 - 11:24 pm,Roxbury man charged with trying to stab an EMT responding to a call,Assault with a dangerous weapon,605 Blue Hill Ave.
8/26/20 - 10:43 pm,Man shot to death on Adams Street in Dorchester,Murder,336 Adams St.
