,Date,Description,Type,Street,Year,Month,Latitude,Longitude
0,2020-12-04 03:15:00,Man shot repeatedly in Dorchester,Shooting,Victory Rd. and Adams St.,2020,12,42.29574299999999,-71.0562629
1,2020-12-01 21:54:00,Police arrest man they say tried to rob two in Fields Corner but only netted a quarter,Armed robbery,205 Adams St.,2020,12,42.3018335,-71.0601999
2,2020-11-29 02:15:00,Police: Two guys were busy zipping through Dorchester with loaded guns until officers pulled them over for traffic infractions,Illegal gun possession,Columbia Rd. and Brinsley St.,2020,11,42.306013,-71.07842219999999
3,2020-11-26 13:40:00,Dorchester man charged as gunned-up sovereign citizen in domestic-terrorism investigation,Illegal gun possession,53 McLellan St.,2020,11,42.2996768,-71.0841906
4,2020-11-16 19:27:00,"Six guns seized, three arrested in a park in Dorchester",Illegal gun possession,Wainwright St. and Brent St.,2020,11,42.2900266,-71.0668752
5,2020-11-14 11:41:00,"Police say man runs amok in Dorchester: Smashes 20 cars with metal hoses, tries to break into an apartment, punches a man, briefly kidnaps toddler while being chased by an angry mob",,,2020,11,42.30163049999999,-71.067605
6,2020-11-13 16:40:00,Three teens charged with holding up food deliverer at gunpoint on Brunswick Street in Dorchester,Armed robbery,203 Brunswick St.,2020,11,42.3082917,-71.0762635
7,2020-11-08 00:48:00,"Three injured, one critically, in shootout on Harwood Street in Dorchester",Shooting,27 Harwood St.,2020,11,42.2859281,-71.0876376
8,2020-10-26 18:50:00,Multiple shots fired on Norton Street in Dorchester,Gunfire,75 Norton St.,2020,10,42.3052358,-71.0677211
9,2020-10-25 00:05:00,Three teens charged with armed carjacking on Browning Avenue in Dorchester; might also be charged with two shootings there,Armed carjacking,30 Browning Ave.,2020,10,42.2939273,-71.0820202
10,2020-10-23 22:50:00,Four shot on Columbia Road in Dorchester,Shooting,Columbia Rd. and Stanwood St.,2020,10,42.3070034,-71.0765217
11,2020-10-19 00:45:00,"Man shot, car crashed on Kingsdale Street in Dorchester",Shooting,Kingsdale St.,2020,10,42.2948967,-71.081507
12,2020-10-13 22:10:00,SUV shot up on Draper Street in Dorchester,Gunfire,Draper St. and Ridgewood St.,2020,10,42.3025904,-71.0638396
13,2020-10-13 21:29:00,Man in SUV shot in the head on Kingsdale Street in Dorchester; he makes it to Blue Hill Avenue before crashing,Murder,Kingsdale St. and Wales St.,2020,10,42.294415,-71.0835884
14,2020-10-01 23:10:00,"Guys with guns arrested on Adams Street in Dorchester, police say",Illegal gun possession,120 Adams St.,2020,10,42.3048372,-71.0610356
15,2020-10-01 19:10:00,"Guy videoed himself stomping a man into unconsciousness in Uphams Corner, police say",Assault with a dangerous weapon,Dudley St. and,2020,10,42.3245764,-71.0745757
16,2020-09-27 01:17:00,Man murdered on Savin Hill,Murder,16 Hubbardston Rd.,2020,9,42.3101947,-71.0528178
17,2020-09-13 18:58:00,"Police: Man was parked in Dorchester with six guns, plenty of spare ammo, drugs, knife and $25,000 in cash, then he tried to run down officers, nearly smashed into several cars, crashed into light pole",Illegal gun possession,16 Galway St.,2020,9,42.30163049999999,-71.067605
18,2020-09-12 20:10:00,"Teen brought loaded gun to Dorchester field and showed a willingness to use it, police say",Illegal gun possession,56 Dunbar Ave.,2020,9,42.2856748,-71.07361159999999
19,2020-09-06 15:45:00,"Man shot, then run over on Everton Street in Dorchester",,,2020,9,42.30163049999999,-71.067605
20,2020-09-05 21:29:00,Two men shot in the hand in separate Dorchester incidents a few minutes apart,Shooting,Livingstone St. and Blue Hill Ave.,2020,9,42.2853284,-71.091004
21,2020-09-05 19:20:00,Four stabbed at Roberts Playground in Dorchester,Stabbing,Wentworth Terrace,2020,9,42.2865288,-71.0739021
22,2020-08-30 02:30:00,Unofficial Carnival street party along Blue Hill Avenue ends with man shot,Murder,Blue Hill Avenue and Ellington St.,2020,8,42.3028993,-71.0852383
23,2020-08-27 23:24:00,Roxbury man charged with trying to stab an EMT responding to a call,Assault with a dangerous weapon,605 Blue Hill Ave.,2020,8,42.3055118,-71.0847263
24,2020-08-26 22:43:00,Man shot to death on Adams Street in Dorchester,Murder,336 Adams St.,2020,8,42.2980048,-71.0566017
25,2020-08-24 23:15:00,Bullet comes through bedroom window in area of Park and Claybourne streets in Dorchester,Gunfire,Park St. and Claybourne St.,2020,8,42.2957413,-71.0711414
26,2020-08-23 02:45:00,"Driver, passengers run away after slamming into woman in Grove Hall",Hit and run,Devon St. and Normandy St.,2020,8,42.3098767,-71.0795959
27,2020-08-21 23:35:00,Man shot repeatedly on Fairmount Street in Dorchester,Gunfire,Faimount St. and Capen St.,2020,8,42.27959449999999,-71.0782009
28,2020-08-21 18:05:00,Several shots fired on Mt. Ida Road in Dorchester,Gunfire,25 Mt. Ida Rd.,2020,8,42.3063256,-71.0653997
29,2020-08-15 23:45:00,Man killed in hit-and-run near Ashmont T station,Hit and run,Dorchester Ave. and Ashmont St.,2020,8,42.2857826,-71.06431359999999
30,2020-08-11 00:57:00,Two sought for armed holdup of Chinese takeout place on Mass. Ave. in Dorchester,Armed robbery,1284 Massachusetts Ave.,2020,8,42.3210414,-71.06173199999999
31,2020-08-06 22:55:00,Gunfire in front of the Lee School in Dorchester,Gunfire,156 Talbot Ave.,2020,8,42.2927319,-71.0800239
32,2020-08-04 00:01:00,Man stabbed to death on Massachusetts Avenue; second Methadone Mile murder in five days,Murder,1024 Massachusetts Ave.,2020,8,42.3270165,-71.06681569999999
33,2020-08-02 21:10:00,"Driver is shot, crashes into wall of Blue Hill Avenue building",Murder,632 Blue Hill Ave.,2020,8,42.302494,-71.085105
34,2020-07-31 07:27:00,Man stabbed to death on Southampton Street; suspect arrested,Murder,112 Southampton St.,2020,7,42.332315,-71.06913709999999
35,2020-07-29 23:15:00,"Two shot, one fatally, on Adams Street near Ronan Park in Dorchester",Murder,121 Adams St.,2020,7,42.3046623,-71.0612084
36,2020-07-29 21:55:00,Man shot on Rosedale Street in Codman Square,Shooting,Rosedale St. and Washington St.,2020,7,42.2928733,-71.0718206
37,2020-07-26 01:58:00,Man fatally shot on Erie Street in Dorchester,Murder,38 Erie St.,2020,7,42.3025029,-71.07993499999999
38,2020-07-25 00:33:00,"Man arrested on gun charges at Dorchester block party, a few days after two men were stabbed at a block party on the same street",Illegal gun possession,Livingstone St. and Blue Hill Ave.,2020,7,42.2853284,-71.091004
39,2020-07-22 16:55:00,Two shot on Dudley Street in Dorchester,Shooting,Dudley St. and Howard Ave.,2020,7,42.3201735,-71.0712947
40,2020-07-19 16:45:00,"Two teens shot to death on Wildwood Street near Morton Street, where another teen was murdered last year",Shooting,46 Wildwood St.,2020,7,42.2831688,-71.08824109999999
41,2020-07-16 21:25:00,Guy with rod whacks three people in the head with it in Grove Hall,Assault and battery,Blue Hill Ave. and Maywood St.,2020,7,42.3158705,-71.07823599999999
42,2020-07-11 22:00:00,Virgin Mary statue set on fire at Dorchester church,Arson,284 Bowdoin St.,2020,7,42.3076146,-71.06676949999999
43,2020-07-10 00:05:00,Two shot in Codman Square,Shooting,Talbot Ave. and Southern Ave.,2020,7,42.2906146,-71.07338279999999
44,2020-07-09 21:10:00,"Two shot, at Tebroc and Bowdoin streets in Dorchester",Shooting,Tebroc St. and Bowdoin St.,2020,7,42.3039384,-71.07030639999999
45,2020-07-07 02:20:00,Grove Hall gunfire followed by arrest,Illegal gun possession,Columbia Rd. and Powellton Rd.,2020,7,42.3048879,-71.0812145
46,2020-07-05 04:32:00,Some guys didn't fully blow their wad on the Fourth,Illegal gun possession,29 Stanton St.,2020,7,42.284697,-71.0800936
47,2020-07-05 03:10:00,Woman shot to death on Stonehurst Street in Dorchester; suspect arrested,Murder,37 Stonehurst St.,2020,7,42.3049738,-71.066839
48,2020-07-03 23:03:00,Man stabbed to death at Fields Corner Domino's,Murder,205 Adams St.,2020,7,42.3018335,-71.0601999
49,2020-07-03 22:15:00,Man fatally stabbed on Theodore Street in Dorchester,Murder,42 Theodore St.,2020,7,42.3305911,-71.06887329999999
50,2020-07-02 00:19:00,Man fatally shot on Norfolk Street in Dorchester,Murder,109 Norfolk St,2020,7,42.28844369999999,-71.0765289
51,2020-06-30 21:28:00,Person shot on Elwyn Road in Dorchester,Shooting,Elwyn Rd.,2020,6,42.2955873,-71.07425479999999
52,2020-06-30 21:27:00,Police: Man was speeding around Dorchester with a gun loaded with 18 rounds,Illegal gun possession,Bradshaw St. and Charlotte St.,2020,6,42.2984984,-71.0837611
53,2020-06-29 11:05:00,"Man shot, at Columbia Road and Devon Street in Dorchester",Shooting,Columbia Rd. and Devon St.,2020,6,42.3074877,-71.0759527
54,2020-06-29 01:56:00,Two arrested on gun charges after South Bay traffic stop,Illegal gun possession,Massachusetts Avenue and Allstate Rd.,2020,6,42.3247094,-71.0651137
55,2020-06-23 01:51:00,Man shot to death on Thane Street in Dorchester,Murder,26 Thane St.,2020,6,42.2968377,-71.0764019
56,2020-06-13 21:55:00,Man shot in the leg on Washington Street in Dorchester,Shooting,861 Washington St.,2020,6,42.2816238,-71.0713423
57,2020-06-13 15:58:00,Man shot to death on Wheatland Avenue in Dorchester; around corner from another fatal shooting ten days ago,Murder,82 Wheatland Ave.,2020,6,42.2927622,-71.0758457
58,2020-06-07 23:40:00,Shots fired on Mascot Street in Dorchester,Gunfire,Mascot St. and Dumas St.,2020,6,42.2847388,-71.0847675
59,2020-06-05 22:25:00,Person shot on Norton Street in Dorchester,Shooting,38 Norton St.,2020,6,42.30653030000001,-71.0685567
60,2020-06-04 22:43:00,"Man walked down a Dorchester street firing a gun, police say",Gunfire,4 Longfellow St.,2020,6,42.3025235,-71.0675325
61,2020-06-04 02:25:00,"Two shot on Whitfield Street in Dorchester, one dead",Murder,68 Whitfield St.,2020,6,42.2916722,-71.074685
62,2020-06-03 22:10:00,15-year-old girl shot on Brenton Street in Dorchester,Shooting,19 Brenton St.,2020,6,42.2975235,-71.0797918
63,2020-06-03 21:15:00,"Man stabbed on Bowdoin Street in Dorchester, winds up at South Bay",Stabbing,Bowdoin St. and Hamilton St.,2020,6,42.3062456,-71.0670098
64,2020-06-02 22:45:00,Shots fired on Centre Street in Dorchester,Gunfire,Centre St. and Samoset St.,2020,6,42.29219639999999,-71.06504989999999
65,2020-06-01 23:02:00,"Man tried pulling a loaded gun on officers in Dorchester, but they managed to grab it away, police say",Illegal gun possession,Evans St. and Capen St.,2020,6,42.2824632,-71.0801838
66,2020-05-30 02:10:00,"Gun fired, woman shot, man arrested in Dorchester",Shooting,23 Mountain Ave.,2020,5,42.285938,-71.08573419999999
67,2020-05-28 00:05:00,"One shot, one stabbed in Newmarket Square",Shooting,Newmarket Square and Massachusetts Ave.,2020,5,42.3267366,-71.0668273
68,2020-05-27 23:55:00,"Five people shot at Franklin Field in Dorchester, one dead",Shooting,5 Ames St.,2020,5,42.2904264,-71.0867009
69,2020-05-24 21:45:00,Two shot in separate incidents less than a mile apart in Dorchester,Shooting,30 Vesta Rd.,2020,5,42.295853,-71.0863377
